row_id,source_file,source_kind,card_id,account,title,direction,category,entry_price,status,canon_action,short_offer
1,spouse_kwork/05_KWORK_FULL_COPY_CARDS_RU.md,markdown_cards,Nastya-1,Nastya,"Бухгалтерские таблицы, ОСВ, акты сверки","1С, учет, ОСВ, акты",,,needs_canon_rewrite,rebuild into canon if selected,
2,spouse_kwork/05_KWORK_FULL_COPY_CARDS_RU.md,markdown_cards,Nastya-2,Nastya,Заголовок,Прочее,,,needs_canon_rewrite,rebuild into canon if selected,
3,spouse_kwork/05_KWORK_FULL_COPY_CARDS_RU.md,markdown_cards,Nastya-3,Nastya,Категория,Прочее,,,needs_canon_rewrite,rebuild into canon if selected,
4,spouse_kwork/05_KWORK_FULL_COPY_CARDS_RU.md,markdown_cards,Nastya-4,Nastya,Описание,Прочее,,,needs_canon_rewrite,rebuild into canon if selected,
5,spouse_kwork/05_KWORK_FULL_COPY_CARDS_RU.md,markdown_cards,Nastya-5,Nastya,Пакеты,Прочее,,,needs_canon_rewrite,rebuild into canon if selected,
6,spouse_kwork/05_KWORK_FULL_COPY_CARDS_RU.md,markdown_cards,Nastya-6,Nastya,Дополнительные опции,Прочее,,,needs_canon_rewrite,rebuild into canon if selected,
7,spouse_kwork/05_KWORK_FULL_COPY_CARDS_RU.md,markdown_cards,Nastya-7,Nastya,Что нужно от клиента,Прочее,,,needs_canon_rewrite,rebuild into canon if selected,
8,spouse_kwork/05_KWORK_FULL_COPY_CARDS_RU.md,markdown_cards,Nastya-8,Nastya,Теги,Прочее,,,needs_canon_rewrite,rebuild into canon if selected,
9,spouse_kwork/05_KWORK_FULL_COPY_CARDS_RU.md,markdown_cards,Nastya-9,Nastya,Частые вопросы,Прочее,,,needs_canon_rewrite,rebuild into canon if selected,
10,spouse_kwork/05_KWORK_FULL_COPY_CARDS_RU.md,markdown_cards,Nastya-10,Nastya,Вопрос 1,Прочее,,,needs_canon_rewrite,rebuild into canon if selected,
11,spouse_kwork/05_KWORK_FULL_COPY_CARDS_RU.md,markdown_cards,Nastya-11,Nastya,Ответ 1,Прочее,,,needs_canon_rewrite,rebuild into canon if selected,
12,spouse_kwork/05_KWORK_FULL_COPY_CARDS_RU.md,markdown_cards,Nastya-12,Nastya,Вопрос 2,Прочее,,,needs_canon_rewrite,rebuild into canon if selected,
13,spouse_kwork/05_KWORK_FULL_COPY_CARDS_RU.md,markdown_cards,Nastya-13,Nastya,Ответ 2,Прочее,,,needs_canon_rewrite,rebuild into canon if selected,
14,spouse_kwork/05_KWORK_FULL_COPY_CARDS_RU.md,markdown_cards,Nastya-14,Nastya,Вопрос 3,Прочее,,,needs_canon_rewrite,rebuild into canon if selected,
15,spouse_kwork/05_KWORK_FULL_COPY_CARDS_RU.md,markdown_cards,Nastya-15,Nastya,Ответ 3,Прочее,,,needs_canon_rewrite,rebuild into canon if selected,
16,spouse_kwork/05_KWORK_FULL_COPY_CARDS_RU.md,markdown_cards,Nastya-16,Nastya,Вопрос 4,Прочее,,,needs_canon_rewrite,rebuild into canon if selected,
17,spouse_kwork/05_KWORK_FULL_COPY_CARDS_RU.md,markdown_cards,Nastya-17,Nastya,Ответ 4,Прочее,,,needs_canon_rewrite,rebuild into canon if selected,
18,spouse_kwork/05_KWORK_FULL_COPY_CARDS_RU.md,markdown_cards,Nastya-18,Nastya,Вопрос 5,Прочее,,,needs_canon_rewrite,rebuild into canon if selected,
19,spouse_kwork/05_KWORK_FULL_COPY_CARDS_RU.md,markdown_cards,Nastya-19,Nastya,Ответ 5,Прочее,,,needs_canon_rewrite,rebuild into canon if selected,
20,spouse_kwork/05_KWORK_FULL_COPY_CARDS_RU.md,markdown_cards,Nastya-2,Nastya,"Статистика, теория вероятностей, факторный анализ",Прочее,,,needs_canon_rewrite,rebuild into canon if selected,
21,spouse_kwork/05_KWORK_FULL_COPY_CARDS_RU.md,markdown_cards,Nastya-21,Nastya,Заголовок,Прочее,,,needs_canon_rewrite,rebuild into canon if selected,
22,spouse_kwork/05_KWORK_FULL_COPY_CARDS_RU.md,markdown_cards,Nastya-22,Nastya,Категория,Прочее,,,needs_canon_rewrite,rebuild into canon if selected,
23,spouse_kwork/05_KWORK_FULL_COPY_CARDS_RU.md,markdown_cards,Nastya-23,Nastya,Описание,Прочее,,,needs_canon_rewrite,rebuild into canon if selected,
24,spouse_kwork/05_KWORK_FULL_COPY_CARDS_RU.md,markdown_cards,Nastya-24,Nastya,Пакеты,Прочее,,,needs_canon_rewrite,rebuild into canon if selected,
25,spouse_kwork/05_KWORK_FULL_COPY_CARDS_RU.md,markdown_cards,Nastya-25,Nastya,Дополнительные опции,Прочее,,,needs_canon_rewrite,rebuild into canon if selected,
26,spouse_kwork/05_KWORK_FULL_COPY_CARDS_RU.md,markdown_cards,Nastya-26,Nastya,Что нужно от клиента,Прочее,,,needs_canon_rewrite,rebuild into canon if selected,
27,spouse_kwork/05_KWORK_FULL_COPY_CARDS_RU.md,markdown_cards,Nastya-27,Nastya,Теги,Прочее,,,needs_canon_rewrite,rebuild into canon if selected,
28,spouse_kwork/05_KWORK_FULL_COPY_CARDS_RU.md,markdown_cards,Nastya-28,Nastya,Частые вопросы,Прочее,,,needs_canon_rewrite,rebuild into canon if selected,
29,spouse_kwork/05_KWORK_FULL_COPY_CARDS_RU.md,markdown_cards,Nastya-29,Nastya,Вопрос 1,Прочее,,,needs_canon_rewrite,rebuild into canon if selected,
30,spouse_kwork/05_KWORK_FULL_COPY_CARDS_RU.md,markdown_cards,Nastya-30,Nastya,Ответ 1,Прочее,,,needs_canon_rewrite,rebuild into canon if selected,
31,spouse_kwork/05_KWORK_FULL_COPY_CARDS_RU.md,markdown_cards,Nastya-31,Nastya,Вопрос 2,Прочее,,,needs_canon_rewrite,rebuild into canon if selected,
32,spouse_kwork/05_KWORK_FULL_COPY_CARDS_RU.md,markdown_cards,Nastya-32,Nastya,Ответ 2,Прочее,,,needs_canon_rewrite,rebuild into canon if selected,
33,spouse_kwork/05_KWORK_FULL_COPY_CARDS_RU.md,markdown_cards,Nastya-33,Nastya,Вопрос 3,Прочее,,,needs_canon_rewrite,rebuild into canon if selected,
34,spouse_kwork/05_KWORK_FULL_COPY_CARDS_RU.md,markdown_cards,Nastya-34,Nastya,Ответ 3,Прочее,,,needs_canon_rewrite,rebuild into canon if selected,
35,spouse_kwork/05_KWORK_FULL_COPY_CARDS_RU.md,markdown_cards,Nastya-35,Nastya,Вопрос 4,Прочее,,,needs_canon_rewrite,rebuild into canon if selected,
36,spouse_kwork/05_KWORK_FULL_COPY_CARDS_RU.md,markdown_cards,Nastya-36,Nastya,Ответ 4,Прочее,,,needs_canon_rewrite,rebuild into canon if selected,
37,spouse_kwork/05_KWORK_FULL_COPY_CARDS_RU.md,markdown_cards,Nastya-37,Nastya,Вопрос 5,Прочее,,,needs_canon_rewrite,rebuild into canon if selected,
38,spouse_kwork/05_KWORK_FULL_COPY_CARDS_RU.md,markdown_cards,Nastya-38,Nastya,Ответ 5,Прочее,,,needs_canon_rewrite,rebuild into canon if selected,
39,spouse_kwork/05_KWORK_FULL_COPY_CARDS_RU.md,markdown_cards,Nastya-3,Nastya,Банковское дело,Прочее,,,needs_canon_rewrite,rebuild into canon if selected,
40,spouse_kwork/05_KWORK_FULL_COPY_CARDS_RU.md,markdown_cards,Nastya-40,Nastya,Заголовок,Прочее,,,needs_canon_rewrite,rebuild into canon if selected,
41,spouse_kwork/05_KWORK_FULL_COPY_CARDS_RU.md,markdown_cards,Nastya-41,Nastya,Категория,Прочее,,,needs_canon_rewrite,rebuild into canon if selected,
42,spouse_kwork/05_KWORK_FULL_COPY_CARDS_RU.md,markdown_cards,Nastya-42,Nastya,Описание,Прочее,,,needs_canon_rewrite,rebuild into canon if selected,
43,spouse_kwork/05_KWORK_FULL_COPY_CARDS_RU.md,markdown_cards,Nastya-43,Nastya,Пакеты,Прочее,,,needs_canon_rewrite,rebuild into canon if selected,
44,spouse_kwork/05_KWORK_FULL_COPY_CARDS_RU.md,markdown_cards,Nastya-44,Nastya,Дополнительные опции,Прочее,,,needs_canon_rewrite,rebuild into canon if selected,
45,spouse_kwork/05_KWORK_FULL_COPY_CARDS_RU.md,markdown_cards,Nastya-45,Nastya,Что нужно от клиента,Прочее,,,needs_canon_rewrite,rebuild into canon if selected,
46,spouse_kwork/05_KWORK_FULL_COPY_CARDS_RU.md,markdown_cards,Nastya-46,Nastya,Теги,Прочее,,,needs_canon_rewrite,rebuild into canon if selected,
47,spouse_kwork/05_KWORK_FULL_COPY_CARDS_RU.md,markdown_cards,Nastya-47,Nastya,Частые вопросы,Прочее,,,needs_canon_rewrite,rebuild into canon if selected,
48,spouse_kwork/05_KWORK_FULL_COPY_CARDS_RU.md,markdown_cards,Nastya-48,Nastya,Вопрос 1,Прочее,,,needs_canon_rewrite,rebuild into canon if selected,
49,spouse_kwork/05_KWORK_FULL_COPY_CARDS_RU.md,markdown_cards,Nastya-49,Nastya,Ответ 1,Прочее,,,needs_canon_rewrite,rebuild into canon if selected,
50,spouse_kwork/05_KWORK_FULL_COPY_CARDS_RU.md,markdown_cards,Nastya-50,Nastya,Вопрос 2,Прочее,,,needs_canon_rewrite,rebuild into canon if selected,
51,spouse_kwork/05_KWORK_FULL_COPY_CARDS_RU.md,markdown_cards,Nastya-51,Nastya,Ответ 2,Прочее,,,needs_canon_rewrite,rebuild into canon if selected,
52,spouse_kwork/05_KWORK_FULL_COPY_CARDS_RU.md,markdown_cards,Nastya-52,Nastya,Вопрос 3,Прочее,,,needs_canon_rewrite,rebuild into canon if selected,
53,spouse_kwork/05_KWORK_FULL_COPY_CARDS_RU.md,markdown_cards,Nastya-53,Nastya,Ответ 3,Прочее,,,needs_canon_rewrite,rebuild into canon if selected,
54,spouse_kwork/05_KWORK_FULL_COPY_CARDS_RU.md,markdown_cards,Nastya-54,Nastya,Вопрос 4,Прочее,,,needs_canon_rewrite,rebuild into canon if selected,
55,spouse_kwork/05_KWORK_FULL_COPY_CARDS_RU.md,markdown_cards,Nastya-55,Nastya,Ответ 4,Прочее,,,needs_canon_rewrite,rebuild into canon if selected,
56,spouse_kwork/05_KWORK_FULL_COPY_CARDS_RU.md,markdown_cards,Nastya-56,Nastya,Вопрос 5,Прочее,,,needs_canon_rewrite,rebuild into canon if selected,
57,spouse_kwork/05_KWORK_FULL_COPY_CARDS_RU.md,markdown_cards,Nastya-57,Nastya,Ответ 5,Прочее,,,needs_canon_rewrite,rebuild into canon if selected,
58,spouse_kwork/05_KWORK_FULL_COPY_CARDS_RU.md,markdown_cards,Nastya-4,Nastya,"Базы данных, Python, React для простых задач",Прочее,,,needs_canon_rewrite,rebuild into canon if selected,
59,spouse_kwork/05_KWORK_FULL_COPY_CARDS_RU.md,markdown_cards,Nastya-59,Nastya,Заголовок,Прочее,,,needs_canon_rewrite,rebuild into canon if selected,
60,spouse_kwork/05_KWORK_FULL_COPY_CARDS_RU.md,markdown_cards,Nastya-60,Nastya,Категория,Прочее,,,needs_canon_rewrite,rebuild into canon if selected,
61,spouse_kwork/05_KWORK_FULL_COPY_CARDS_RU.md,markdown_cards,Nastya-61,Nastya,Описание,Прочее,,,needs_canon_rewrite,rebuild into canon if selected,
62,spouse_kwork/05_KWORK_FULL_COPY_CARDS_RU.md,markdown_cards,Nastya-62,Nastya,Пакеты,Прочее,,,needs_canon_rewrite,rebuild into canon if selected,
63,spouse_kwork/05_KWORK_FULL_COPY_CARDS_RU.md,markdown_cards,Nastya-63,Nastya,Дополнительные опции,Прочее,,,needs_canon_rewrite,rebuild into canon if selected,
64,spouse_kwork/05_KWORK_FULL_COPY_CARDS_RU.md,markdown_cards,Nastya-64,Nastya,Что нужно от клиента,Прочее,,,needs_canon_rewrite,rebuild into canon if selected,
65,spouse_kwork/05_KWORK_FULL_COPY_CARDS_RU.md,markdown_cards,Nastya-65,Nastya,Теги,Прочее,,,needs_canon_rewrite,rebuild into canon if selected,
66,spouse_kwork/05_KWORK_FULL_COPY_CARDS_RU.md,markdown_cards,Nastya-66,Nastya,Частые вопросы,Прочее,,,needs_canon_rewrite,rebuild into canon if selected,
67,spouse_kwork/05_KWORK_FULL_COPY_CARDS_RU.md,markdown_cards,Nastya-67,Nastya,Вопрос 1,Прочее,,,needs_canon_rewrite,rebuild into canon if selected,
68,spouse_kwork/05_KWORK_FULL_COPY_CARDS_RU.md,markdown_cards,Nastya-68,Nastya,Ответ 1,Прочее,,,needs_canon_rewrite,rebuild into canon if selected,
69,spouse_kwork/05_KWORK_FULL_COPY_CARDS_RU.md,markdown_cards,Nastya-69,Nastya,Вопрос 2,Прочее,,,needs_canon_rewrite,rebuild into canon if selected,
70,spouse_kwork/05_KWORK_FULL_COPY_CARDS_RU.md,markdown_cards,Nastya-70,Nastya,Ответ 2,Прочее,,,needs_canon_rewrite,rebuild into canon if selected,
71,spouse_kwork/05_KWORK_FULL_COPY_CARDS_RU.md,markdown_cards,Nastya-71,Nastya,Вопрос 3,Прочее,,,needs_canon_rewrite,rebuild into canon if selected,
72,spouse_kwork/05_KWORK_FULL_COPY_CARDS_RU.md,markdown_cards,Nastya-72,Nastya,Ответ 3,Прочее,,,needs_canon_rewrite,rebuild into canon if selected,
73,spouse_kwork/05_KWORK_FULL_COPY_CARDS_RU.md,markdown_cards,Nastya-73,Nastya,Вопрос 4,Прочее,,,needs_canon_rewrite,rebuild into canon if selected,
74,spouse_kwork/05_KWORK_FULL_COPY_CARDS_RU.md,markdown_cards,Nastya-74,Nastya,Ответ 4,Прочее,,,needs_canon_rewrite,rebuild into canon if selected,
75,spouse_kwork/05_KWORK_FULL_COPY_CARDS_RU.md,markdown_cards,Nastya-75,Nastya,Вопрос 5,Прочее,,,needs_canon_rewrite,rebuild into canon if selected,
76,spouse_kwork/05_KWORK_FULL_COPY_CARDS_RU.md,markdown_cards,Nastya-76,Nastya,Ответ 5,Прочее,,,needs_canon_rewrite,rebuild into canon if selected,
77,spouse_kwork/05_KWORK_FULL_COPY_CARDS_RU.md,markdown_cards,Nastya-5,Nastya,"Excel, формулы, сводные, макросы, CRM",Прочее,,,needs_canon_rewrite,rebuild into canon if selected,
78,spouse_kwork/05_KWORK_FULL_COPY_CARDS_RU.md,markdown_cards,Nastya-78,Nastya,Заголовок,Прочее,,,needs_canon_rewrite,rebuild into canon if selected,
79,spouse_kwork/05_KWORK_FULL_COPY_CARDS_RU.md,markdown_cards,Nastya-79,Nastya,Категория,Прочее,,,needs_canon_rewrite,rebuild into canon if selected,
80,spouse_kwork/05_KWORK_FULL_COPY_CARDS_RU.md,markdown_cards,Nastya-80,Nastya,Описание,Прочее,,,needs_canon_rewrite,rebuild into canon if selected,
81,spouse_kwork/05_KWORK_FULL_COPY_CARDS_RU.md,markdown_cards,Nastya-81,Nastya,Пакеты,Прочее,,,needs_canon_rewrite,rebuild into canon if selected,
