№,кейс,аккаунт,направление,зачем,что создать за 1-2 часа,что нельзя,где использовать,статус
1,ОСВ 62 и акт сверки,Настя,"1С, учет, ОСВ, акты","Показать, что мы не просто смотрим файл, а раскладываем кто кому сколько и по каким документам.","Сделать обезличенную таблицу на 10 контрагентов: сальдо, дебет, кредит, расхождение, действие.","Не показывать ИНН, договоры, реальные суммы, названия клиентов.","Кворк ОСВ/1С, первый ответ на бухгалтерские запросы",создать демо
2,Дебиторка и кредиторка,Настя,"1С, учет, ОСВ, акты","Показать управленческий смысл, а не только бухгалтерские слова.","Сделать лист: кто должен, срок, основание, что запросить, статус.",Не обещать взыскание или юридический результат.,Кворк ОСВ/таблицы,создать демо
3,Excel с формулами и сводной,Настя + Влад,Excel и таблицы,"Показать, что таблица будет жить дальше, а не просто красиво выглядеть.","Сделать файл до/после: склейка двух таблиц, формулы, сводная, проверка дублей.",Не обещать сложный VBA без аудита.,Кворк Excel/Google Sheets,создать демо
4,CRM или веб-хук в таблицу,Влад,Excel и таблицы,Показать мост между таблицей и рабочим процессом.,Сделать демо: форма или CSV -> таблица -> статус -> уведомление.,Не подключать реальные CRM без тестового доступа и ТЗ.,Кворк Excel/автоматизация,создать демо
5,ИТ-договор и протокол разногласий,Настя,"Документы, договоры, заявки",Показать юридическую силу без обещания суда.,"Сделать таблицу: пункт, риск, предлагаемая редакция, почему важно.",Не писать 'юрист под ключ' и не обещать выигрыш.,Кворк договоры/протоколы,создать демо
6,Трехсторонний договор,Настя,"Документы, договоры, заявки","Показать понимание денег, обязанностей и документов между тремя сторонами.","Сделать схему сторон, платежей, актов, сроков, рисков.",Не использовать чужие персональные данные.,Кворк договоры,создать демо
7,"УФАС, МСП, АНО, сертификация",Настя,"Документы, договоры, заявки",Показать умение собирать пакет и вопросы по требованиям.,"Сделать чек-лист: требование, документ, статус, вопрос, кто отвечает.",Не обещать сертификат или решение органа.,Кворк заявки/документы,создать демо
8,Факторный анализ или статистика,Настя,Учебные работы,"Показать, что студенческие работы - это быстрый расчет с объяснением.","Сделать мини-кейс: формула, расчет, вывод человеческим языком.",Не продавать как 'любой диплом под ключ'.,Кворк учебные расчеты,создать демо
9,Банковское дело,Настя,Банковское дело,"Показать профильность: расчеты, продукты, платежи, риски.","Сделать пример таблицы по кредиту, ставке, переплате, выводу.",Не подменять профессиональную финансовую консультацию.,Кворк банковские работы,создать демо
10,База бизнес-клиентов и первое касание,Влад,"B2B, КП, лиды","Показать не список мусора, а логику отбора.","Сделать 20 строк: компания, почему подходит, контакт, источник, статус, первое сообщение.",Не обещать продажи.,Кворк лиды/КП,создать демо
11,Коммерческое предложение,Влад,"B2B, КП, лиды","Показать, что КП строится от сделки и доказательств.","Сделать до/после: оффер, боли, доказательства, следующий шаг.",Не конкурировать как обычный копирайтер.,Кворк КП/кейсы,создать демо
12,"ТЗ, матрица требований, Гант",Влад,"ТЗ, структура, Gantt",Показать способность превратить хаос в план.,"Сделать демо: требования, вопросы, риски, зависимости, приемка.",Не брать инженерную ответственность.,Кворк ТЗ/Gantt,создать демо
13,ИИ/Codex процесс,Влад,"AI, боты, CRM","Показать, что ИИ не магия, а управляемый процесс.","Сделать пример: входная задача, промпт, файлы, результат, чек-лист проверки.",Не обещать агента под ключ без первого разбора.,Кворк ИИ/Codex,создать демо
14,Python парсер с логами,Влад,"Python, парсинг, данные","Показать инженерный минимум: источник, поля, ошибки, результат.",Сделать демо одного источника и CSV до/после.,Не нарушать правила площадок и не брать закрытые данные.,Кворк Python/парсинг,создать демо
15,WordPress пост или карточка товара,Настя + Влад,"Web, WordPress, SEO",Показать аккуратную операционную работу.,"Сделать пример: H1/H2, SEO-title, description, картинка, CTA.",Не брать полный сайт без оценки.,Кворк WordPress/контент,создать демо
16,Маркетплейс SKU,Настя,Маркетплейсы,Показать порядок в товарных данных.,"Сделать 10 SKU: фото, артикул, описание, характеристики, источник, статус.",Не брать чужие фото без права использования.,Кворк карточки/маркетплейсы,создать демо
