№,приоритет,решение,аккаунт,канал,направление,запрос клиента,бюджет,отклики,конкуренция,часы,грязная ставка руб/час,почему нам подходит,что сделать,что написать клиенту,что показать или собрать,риск,источник,ссылка,долг
31,100,брать сегодня,Влад,аккаунт Влада,"бизнес-клиенты, КП, лиды",Заключить 99 договоров с кадровыми агентствами,6 000 руб.,0,низкая,3,2 000,"Влад силен не в копирайтинге ради текста, а в логике сделки: кому продаем, почему поверят, какой следующий шаг. Сырье: холодный обзвон не наш","Собрать ICP, тестовую базу 20 строк, источник, статус проверки и текст первого касания.","Здравствуйте. Могу взять, но сначала зафиксирую границы, чтобы не продать вам туман. По запросу ""Заключить 99 договоров с кадровыми агентствами"" я бы начал с короткого разбора: Собрать ICP, тестовую базу 20 строк, источник, статус проверки и текст первого касания. На выходе дам проверяемый результат: Демо база 20 строк, структура КП, пример первого сообщения. Для точной оценки пришлите: кому продаем, география, запреты, признаки клиента, нужные контакты.","Демо база 20 строк, структура КП, пример первого сообщения.",низкий,живой слой,https://kwork.ru/projects/3198707,
32,100,брать сегодня,Влад,аккаунт Влада,"бизнес-клиенты, КП, лиды",Поиск заказов (для агентства),30 000-90 000 руб.,0,низкая,8,7 500,"Влад силен не в копирайтинге ради текста, а в логике сделки: кому продаем, почему поверят, какой следующий шаг. Сырье: не наша","Собрать ICP, тестовую базу 20 строк, источник, статус проверки и текст первого касания.","Здравствуйте. Могу взять, но сначала зафиксирую границы, чтобы не продать вам туман. По запросу ""Поиск заказов (для агентства)"" я бы начал с короткого разбора: Собрать ICP, тестовую базу 20 строк, источник, статус проверки и текст первого касания. На выходе дам проверяемый результат: Демо база 20 строк, структура КП, пример первого сообщения. Для точной оценки пришлите: кому продаем, география, запреты, признаки клиента, нужные контакты.","Демо база 20 строк, структура КП, пример первого сообщения.",низкий,живой слой,https://kwork.ru/projects/3192226,
42,100,брать сегодня,Влад,аккаунт Влада,"Python, парсинг, данные",Редактирование сценария oktell,3 000-9 000 руб.,0,низкая,8,750,"Хорошая зона Влада, если есть четкий источник, формат результата и допустимость сбора. Сырье: телефония-скрипт ноль откликов","Начинать с MVP одного источника: CSV, лог ошибок, ограничения, затем масштабирование.","Здравствуйте. Могу взять, но сначала зафиксирую границы, чтобы не продать вам туман. По запросу ""Редактирование сценария oktell"" я бы начал с короткого разбора: Начинать с MVP одного источника: CSV, лог ошибок, ограничения, затем масштабирование. На выходе дам проверяемый результат: Мини-парсер, CSV до/после, лог ошибок, README как запускать. Для точной оценки пришлите: источник, пример страницы, поля, частота, формат выгрузки, ограничения.","Мини-парсер, CSV до/после, лог ошибок, README как запускать.",низкий,живой слой,https://kwork.ru/projects/3198797,
28,100,брать сегодня,Влад,аккаунт Влада,"бизнес-клиенты, КП, лиды",Поиск каналов продаж для агентства недвижимости,25 000-75 000 руб.,1,низкая,8,6 250,"Влад силен не в копирайтинге ради текста, а в логике сделки: кому продаем, почему поверят, какой следующий шаг. Сырье: GTM-консалтинг мало откликов","Собрать ICP, тестовую базу 20 строк, источник, статус проверки и текст первого касания.","Здравствуйте. Могу взять, но сначала зафиксирую границы, чтобы не продать вам туман. По запросу ""Поиск каналов продаж для агентства недвижимости"" я бы начал с короткого разбора: Собрать ICP, тестовую базу 20 строк, источник, статус проверки и текст первого касания. На выходе дам проверяемый результат: Демо база 20 строк, структура КП, пример первого сообщения. Для точной оценки пришлите: кому продаем, география, запреты, признаки клиента, нужные контакты.","Демо база 20 строк, структура КП, пример первого сообщения.",низкий,живой слой,https://kwork.ru/projects/3198732,
29,100,брать сегодня,Влад,аккаунт Влада,"бизнес-клиенты, КП, лиды",Поиск B2B клиентов для маркетингового агентства,200 000 руб.,2,низкая,8,25 000,"Влад силен не в копирайтинге ради текста, а в логике сделки: кому продаем, почему поверят, какой следующий шаг. Сырье: B2B продажи мало откликов","Собрать ICP, тестовую базу 20 строк, источник, статус проверки и текст первого касания.","Здравствуйте. Могу взять, но сначала зафиксирую границы, чтобы не продать вам туман. По запросу ""Поиск B2B клиентов для маркетингового агентства"" я бы начал с короткого разбора: Собрать ICP, тестовую базу 20 строк, источник, статус проверки и текст первого касания. На выходе дам проверяемый результат: Демо база 20 строк, структура КП, пример первого сообщения. Для точной оценки пришлите: кому продаем, география, запреты, признаки клиента, нужные контакты.","Демо база 20 строк, структура КП, пример первого сообщения.",низкий,живой слой,https://kwork.ru/projects/3197922,
43,100,брать сегодня,Влад,аккаунт Влада,"сайт, WordPress, SEO",Требуется вёрстка нескольких страниц (Figma→HTML),20 000-60 000 руб.,3,низкая,6,6 667,"Не конкурировать с разработчиками по всему сайту. Брать размещение, структуру, карточки, SEO-поля и мелкие правки. Сырье: вёрстка мало откликов","Попросить доступ, пример готовой страницы, текст, изображения, SEO-title, description.","Здравствуйте. Могу взять, но сначала зафиксирую границы, чтобы не продать вам туман. По запросу ""Требуется вёрстка нескольких страниц (Figma→HTML)"" я бы начал с короткого разбора: Попросить доступ, пример готовой страницы, текст, изображения, SEO-title, description. На выходе дам проверяемый результат: Демо пост WordPress: заголовки, картинка, CTA, SEO-поля, чек-лист публикации. Для точной оценки пришлите: доступ, пример страницы, текст, картинки, SEO-поля, запреты.","Демо пост WordPress: заголовки, картинка, CTA, SEO-поля, чек-лист публикации.",низкий,живой слой,https://kwork.ru/projects/3186308,
9,100,брать сегодня,Настя + Влад,"аккаунт Насти, Влад помогает с техникой","1С, учет, ОСВ, акты",1С Автосервис - доработка,7 000-21 000 руб.,4,низкая,5,2 800,"Есть сильный бытовой и рабочий контекст: 1С, ОСВ, акты сверки, дебиторка, кредиторка, УПД, счета, налоги. Сырье: живой 16.06 - мало откликов хороший вход","Попросить выгрузку, период, счет, контрагента, версию 1С и проблему словами. Делать таблицу расхождений, не гадать по скриншоту.","Здравствуйте. Могу разобрать задачу спокойно и по документам, без вида что все понятно по одному скрину. По запросу ""1С Автосервис - доработка"" я бы начал с короткого разбора: Попросить выгрузку, период, счет, контрагента, версию 1С и проблему словами. Делать таблицу расхождений, не гадать по скриншоту. На выходе дам проверяемый результат: Обезличенная ОСВ 62, акт сверки, таблица кто кому сколько и по каким документам. Для точной оценки пришлите: выгрузка, период, счет, контрагент, версия 1С, что именно не сходится.","Обезличенная ОСВ 62, акт сверки, таблица кто кому сколько и по каким документам.",низкий,живой слой,https://kwork.ru/projects/3198791,
10,100,брать сегодня,Настя + Влад,"аккаунт Насти, Влад помогает с техникой","1С, учет, ОСВ, акты",Восстановление бух учета СБИС/Сабy,2 000 руб.,5,низкая,5,400,"Есть сильный бытовой и рабочий контекст: 1С, ОСВ, акты сверки, дебиторка, кредиторка, УПД, счета, налоги. Сырье: редкий чистый бух-заказ","Попросить выгрузку, период, счет, контрагента, версию 1С и проблему словами. Делать таблицу расхождений, не гадать по скриншоту.","Здравствуйте. Могу разобрать задачу спокойно и по документам, без вида что все понятно по одному скрину. По запросу ""Восстановление бух учета СБИС/Сабy"" я бы начал с короткого разбора: Попросить выгрузку, период, счет, контрагента, версию 1С и проблему словами. Делать таблицу расхождений, не гадать по скриншоту. На выходе дам проверяемый результат: Обезличенная ОСВ 62, акт сверки, таблица кто кому сколько и по каким документам. Для точной оценки пришлите: выгрузка, период, счет, контрагент, версия 1С, что именно не сходится.","Обезличенная ОСВ 62, акт сверки, таблица кто кому сколько и по каким документам.",низкий,живой слой,https://kwork.ru/projects/3198286,
20,100,брать сегодня,Влад,аккаунт Влада,"ИИ, боты, CRM",Поддержка и развитие портала Битрикс24,25 000-75 000 руб.,5,низкая,10,5 000,"Брать только как управляемый процесс: аудит, схема, один сценарий, тесты, затем оценка. Сырье: поддержка CRM мало откликов","Не обещать волшебного бота. Сначала карта процесса, входы, CRM, статусы, прототип одного сценария.","Здравствуйте. Могу взять, но сначала зафиксирую границы, чтобы не продать вам туман. По запросу ""Поддержка и развитие портала Битрикс24"" я бы начал с короткого разбора: Не обещать волшебного бота. Сначала карта процесса, входы, CRM, статусы, прототип одного сценария. На выходе дам проверяемый результат: Схема процесса, тестовый сценарий, таблица проверок, короткий Codex-промпт. Для точной оценки пришлите: каналы заявок, CRM, 5-10 примеров, желаемый статус, ограничения доступов.","Схема процесса, тестовый сценарий, таблица проверок, короткий Codex-промпт.",низкий,живой слой,https://kwork.ru/projects/3198782,
30,100,брать сегодня,Влад,аккаунт Влада,"бизнес-клиенты, КП, лиды",Плачу % за привлечение селлеров WB/Ozon,200 000 руб.,5,низкая,8,25 000,"Влад силен не в копирайтинге ради текста, а в логике сделки: кому продаем, почему поверят, какой следующий шаг. Сырье: партнёрка не наша","Собрать ICP, тестовую базу 20 строк, источник, статус проверки и текст первого касания.","Здравствуйте. Могу взять, но сначала зафиксирую границы, чтобы не продать вам туман. По запросу ""Плачу % за привлечение селлеров WB/Ozon"" я бы начал с короткого разбора: Собрать ICP, тестовую базу 20 строк, источник, статус проверки и текст первого касания. На выходе дам проверяемый результат: Демо база 20 строк, структура КП, пример первого сообщения. Для точной оценки пришлите: кому продаем, география, запреты, признаки клиента, нужные контакты.","Демо база 20 строк, структура КП, пример первого сообщения.",низкий,живой слой,https://kwork.ru/projects/3197613,
