platform,profile_url,niche,seller_level,reviews_count,avg_rating,base_price,delivery_days,packages,options,portfolio_strength(1-5),weak_spots,our_edge,notes,date_checked
Kwork,https://kwork.ru/script-programming/51212884/avtovygruzka-finansovykh-otchyotov-s-yandeksmarketa-v-excel,Excel/API,ПРОВЕРИТЬ,839,ПРОВЕРИТЬ,5000,ПРОВЕРИТЬ,ПРОВЕРИТЬ,ПРОВЕРИТЬ,4,Сильный proof по маркетплейсам и Excel,"Не биться лбом: входить через разбор таблиц, 1С, ОСВ, документы, а не через голую выгрузку",seller=papagapa; title=Автовыгрузка финансовых отчётов с ЯндексМаркета в Excel; orders_count=ПРОВЕРИТЬ; source_type=historic_kwork_scrape,2026-05-27
Kwork,https://kwork.ru/personal-assistant/25579311/vygruzka-iskhodyashchikh-platezhey-moysklad-api-v-google-tablitsu,Google Sheets/API,ПРОВЕРИТЬ,90,ПРОВЕРИТЬ,6000,ПРОВЕРИТЬ,ПРОВЕРИТЬ,ПРОВЕРИТЬ,3,Узкая интеграция МойСклад,"У нас сильнее постановка, сверка и выводы, слабее готовая API-полка",seller=Max_Liubimov; title=Выгрузка Исходящих платежей МойСклад API в Google таблицу; orders_count=ПРОВЕРИТЬ; source_type=historic_kwork_scrape,2026-05-27
Kwork,https://kwork.ru/software/33111214/razrabotka-slozhnykh-makrosov-dlya-excel-vba,Excel VBA,ПРОВЕРИТЬ,75,ПРОВЕРИТЬ,35000,ПРОВЕРИТЬ,ПРОВЕРИТЬ,ПРОВЕРИТЬ,3,Настоящая разработка макросов с заказами,"Vlad/Nastya не должны обещать сложный VBA без аудита; брать формулы, сводные, простые макросы, CRM-связки",seller=AlexKerv; title=Разработка сложных макросов для Excel VBA; orders_count=176; source_type=historic_kwork_scrape,2026-05-27
Kwork,https://kwork.ru/personal-assistant/52196717/avtomatizatsiya-protsessov-s-claude-codex-tg-botami-n8n-i-python,AI automation,ПРОВЕРИТЬ,55,ПРОВЕРИТЬ,5000,ПРОВЕРИТЬ,ПРОВЕРИТЬ,ПРОВЕРИТЬ,3,"Ровно наш новый рынок, но уже есть продавцы","Vlad должен выходить не как generic AI, а как Codex + бизнес-документы + воронка + доказательства","seller=am2spb; title=Автоматизация процессов с Claude, Codex, Tg-ботами, n8n и Python; orders_count=ПРОВЕРИТЬ; source_type=historic_kwork_scrape",2026-05-27
Kwork,https://kwork.ru/script-programming/29509247/sozdam-umnuyu-avtomatizatsiyu-n8n-ai-assistent-s-pamyatyu-dostupom-k-api,n8n AI,ПРОВЕРИТЬ,313,ПРОВЕРИТЬ,100000,ПРОВЕРИТЬ,ПРОВЕРИТЬ,ПРОВЕРИТЬ,4,"Высокий чек, сильная витрина","Не конкурировать сразу под ключ; продавать discovery, прототип, ТЗ, аудит","seller=n8n_botz; title=Создам умную автоматизацию N8N: AI-ассистент с памятью, доступом к API; orders_count=453; source_type=historic_kwork_scrape",2026-05-27
Kwork,https://kwork.ru/script-programming/306020/skopiruyu-tovary-s-sayta-konkurenta-ili-postavshchika,Parsing,ПРОВЕРИТЬ,362,ПРОВЕРИТЬ,5000,ПРОВЕРИТЬ,ПРОВЕРИТЬ,ПРОВЕРИТЬ,4,Парсинг товаров как массовая услуга,"Брать только где есть смысловая упаковка данных: товар, карточка, таблица, проверка",seller=wporgru; title=Скопирую товары с сайта конкурента или поставщика; orders_count=ПРОВЕРИТЬ; source_type=historic_kwork_scrape,2026-05-27
Kwork,https://kwork.ru/script-programming/31327381/parser-kontenta-s-telegram-kanalov-na-python,Python Telegram,ПРОВЕРИТЬ,44,ПРОВЕРИТЬ,5000,ПРОВЕРИТЬ,ПРОВЕРИТЬ,ПРОВЕРИТЬ,2,Узкий Telegram/Python proof,"Vlad может, но нужен портфель и аккуратность по правилам Telegram",seller=Ser222; title=Парсер контента с Телеграм каналов на Python; orders_count=ПРОВЕРИТЬ; source_type=historic_kwork_scrape,2026-05-27
Kwork,https://kwork.ru/script-programming/49625490/razrabotka-telegram-bota-pod-klyuch,Telegram bots,ПРОВЕРИТЬ,3266,ПРОВЕРИТЬ,6000,ПРОВЕРИТЬ,ПРОВЕРИТЬ,ПРОВЕРИТЬ,5,Очень сильная конкуренция по ботам,"Не делать generic bot; делать AI/Codex workflow, ТЗ, прототип, интеграцию с таблицами/CRM",seller=Yantu; title=Разработка Telegram-бота под ключ; orders_count=ПРОВЕРИТЬ; source_type=historic_kwork_scrape,2026-05-27
Kwork,https://kwork.ru/business-copywriting/12581215/effektivnoe-kommercheskoe-predlozhenie-dlya-vashego-biznesa,Commercial proposal,ПРОВЕРИТЬ,360,ПРОВЕРИТЬ,6000,ПРОВЕРИТЬ,ПРОВЕРИТЬ,ПРОВЕРИТЬ,4,КП уже продают отдельно,"Vlad должен продавать не текст КП, а разбор сделки, оффера, рисков, структуры и доказательств",seller=Donkossan; title=Эффективное коммерческое предложение для вашего бизнеса; orders_count=ПРОВЕРИТЬ; source_type=historic_kwork_scrape,2026-05-27
Kwork,https://kwork.ru/business-copywriting/10480511/razrabotayu-kommercheskoe-predlozhenie,Commercial proposal,ПРОВЕРИТЬ,232,ПРОВЕРИТЬ,5000,ПРОВЕРИТЬ,ПРОВЕРИТЬ,ПРОВЕРИТЬ,3,Стабильный спрос и понятный чек,"Отстроиться через сложные B2B-продукты, портовую/ИТ/интеграционную специфику",seller=YuriNikiforov; title=Разработаю коммерческое предложение; orders_count=ПРОВЕРИТЬ; source_type=historic_kwork_scrape,2026-05-27
