rank,source_layer,project_id,url,date_checked,title,account,channel,niche,direction,budget_min,budget_max,budget_mid,offers,views,competition,decision,pay_mode,risk,est_hours,gross_rate_mid,confidence,source_files,next_action,notes
1,LIVE+CODEX,3198119,https://kwork.ru/projects/3198119,2026-06-15,Руководство как в 1С УНФ сделать контракты,Nastya,vitrine_first_or_point_exchange,1c,"1С, учет, ОСВ, акты",2000,2000,2000,11,912,mid,TAKE,IP_Nastya,med,5,400,high,market/2026-06-kwork-orders-ledger-LIVE.csv; market/2026-06-kwork-orders-ledger.csv,"вести как витринный кворк, на бирже отвечать точечно","высокий просмотр документная задача | Настин 1С/договорный контекст | buyer_orders=382; hire_percent=90; risk=Нужна точная версия 1С УНФ; action=Попросить версию 1С, скрины, цель инструкции, сделать пошаговый документ"
2,LIVE+CODEX,3197646,https://kwork.ru/projects/3197646,2026-06-15,Доработка бота в Salebot для ВК и ТГ,Vlad,active_exchange,tg-bot,"AI, боты, CRM",5000,15000,10000,31,857,high,TAKE WITH SCOPE,SE_Vlad,med,10,1000,high,market/2026-06-kwork-orders-ledger-LIVE.csv; market/2026-06-kwork-orders-ledger.csv,"отклик: карта процесса, один сценарий, риски, тесты","доработка конструктора | Боты, личный кабинет, рефералы, статусы | buyer_orders=8; hire_percent=20; risk=Зависимость от Salebot и чужих доступов; action=Попросить схему текущего бота, доступ тестовый, список сценариев, логи ошибок"
3,LIVE+CODEX,3198248,https://kwork.ru/projects/3198248,2026-06-15,Разработка шаблона оформления кейсов компании,Vlad,active_exchange,kp-b2b,"B2B, КП, лиды",4000,12000,8000,19,634,mid,TAKE,SE_Vlad,med,3,2667,high,market/2026-06-kwork-orders-ledger-LIVE.csv; market/2026-06-kwork-orders-ledger.csv,"отклик: критерии ICP, тест 20 строк, источник, статус","упаковка кейсов - зона Влада | Сильное совпадение с упаковкой кейсов и B2B смыслом | buyer_orders=11; hire_percent=50; risk=Нужны бренд-материалы; action=Собрать структуру кейса: проблема, контекст, решение, цифры, доказательства, CTA"
4,LIVE+CODEX,3198558,https://kwork.ru/projects/3198558,2026-06-16,Собрать базу организаций для обзвона,Vlad,active_exchange,data-excel,Excel и таблицы,1500,4500,3000,10,203,mid,TAKE,SE_Vlad,low,4,750,high,market/2026-06-kwork-orders-ledger-LIVE.csv; market/2026-06-kwork-orders-ledger.csv,отклик только если объем и приемка ясны,"парсинг+таблица | Простой тест на сбор базы и фильтры | buyer_orders=45; hire_percent=57; risk=Низкий чек, нужен быстрый шаблон; action=Собери 50 организаций с источником, сайтом, контактом, причиной попадания и статусом"
5,LIVE+CODEX,3198468,https://kwork.ru/projects/3198468,2026-06-16,Разработка асинхронного Python парсера для AmoCRM,Vlad,active_exchange,python,"Python, парсинг, данные",7000,21000,14000,15,326,mid,TAKE,SE_Vlad,med,8,1750,high,market/2026-06-kwork-orders-ledger-LIVE.csv; market/2026-06-kwork-orders-ledger.csv,"отклик: MVP одного источника, логи, ограничения","идеальная зона Влада | Python парсер + amoCRM + лидогенерация, сильная связка для Vlad | buyer_orders=25; hire_percent=41; risk=Риск недооценки real-time и отказоустойчивости; action=Сначала аудит ТЗ, затем MVP-парсер 1 источника, лог ошибок, схема интеграции amoCRM"
6,LIVE+CODEX,3197770,https://kwork.ru/projects/3197770,2026-06-15,Доработка отчётов в DataLence,Vlad,active_exchange,python,"Python, парсинг, данные",10000,30000,20000,33,711,high,TAKE WITH SCOPE,SE_Vlad,med,8,2500,high,market/2026-06-kwork-orders-ledger-LIVE.csv; market/2026-06-kwork-orders-ledger.csv,"отклик: MVP одного источника, логи, ограничения","BI/данные | Аналитический отчет, метрики, таблицы | buyer_orders=1; hire_percent=0; risk=Нужен опыт DataLens и доступ; action=Попросить ТЗ, текущий дашборд, список показателей, источники данных"
7,LIVE+CODEX,3195831,https://kwork.ru/projects/3195831,2026-06-12,Изучить скрипты Python и устранить ошибки,Vlad,active_exchange,python,"Python, парсинг, данные",12000,36000,24000,120,1113,red,LOW PRIORITY,SE_Vlad,med,8,3000,high,market/2026-06-kwork-orders-ledger-LIVE.csv; market/2026-06-kwork-orders-ledger.csv,"отклик: MVP одного источника, логи, ограничения","много откликов «почини скрипт» | Python, Telegram, API, debug - хорошее направление | buyer_orders=4; hire_percent=100; risk=Нужен доступ к коду и тестовой среде; action=Попросить репозиторий/архив, ошибку, .env.example без секретов, сценарий воспроизведения"
8,LIVE+CODEX,3198330,https://kwork.ru/projects/3198330,2026-06-16,Разработать интернет-магазин (сайт уже есть),Vlad,active_exchange,web,"Web, WordPress, SEO",10000,30000,20000,29,659,high,TAKE WITH SCOPE,SE_Vlad,med,6,3333,high,market/2026-06-kwork-orders-ledger-LIVE.csv; market/2026-06-kwork-orders-ledger.csv,отклик только если объем и приемка ясны,"e-commerce доработка | Можно через ТЗ, структуру каталога и базовую реализацию | buyer_orders=3; hire_percent=100; risk=Разработка под ключ может быть шире навыков/срока; action=Предложить discovery + ТЗ + MVP-каталог, не обещать полный e-commerce без аудита"
9,LIVE,3198791,https://kwork.ru/projects/3198791,2026-06-16,1С Автосервис - доработка,Vlad,active_exchange,1c,"1С, учет, ОСВ, акты",7000,21000,14000,4,101,low,TAKE FIRST,SE_Vlad,low,5,2800,high-live,market/2026-06-kwork-orders-ledger-LIVE.csv,отклик только если объем и приемка ясны,живой 16.06 - мало откликов хороший вход
10,LIVE,3198286,https://kwork.ru/projects/3198286,2026-06-16,Восстановление бух учета СБИС/Сабy,Nastya,vitrine_first_or_point_exchange,accounting,"1С, учет, ОСВ, акты",2000,2000,2000,5,245,low,TAKE FIRST,IP_Nastya,low,5,400,high-live,market/2026-06-kwork-orders-ledger-LIVE.csv,"вести как витринный кворк, на бирже отвечать точечно",редкий чистый бух-заказ
11,LIVE,3198627,https://kwork.ru/projects/3198627,2026-06-16,Удаленный Бухгалтер,Nastya,vitrine_first_or_point_exchange,accounting,"1С, учет, ОСВ, акты",4000,12000,8000,15,162,mid,TAKE,IP_Nastya,low,5,1600,high-live,market/2026-06-kwork-orders-ledger-LIVE.csv,"вести как витринный кворк, на бирже отвечать точечно",единственный активный по «бухгалтер»
12,LIVE,3196862,https://kwork.ru/projects/3196862,2026-06-14,Программа учета для магазина автозапчастей на 1с,Vlad,active_exchange,1c,"1С, учет, ОСВ, акты",60000,180000,120000,27,708,high,TAKE WITH SCOPE,SE_Vlad,low,18,6667,high-live,market/2026-06-kwork-orders-ledger-LIVE.csv,отклик только если объем и приемка ясны,крупный бюджет 1С-разработка
13,LIVE,3198694,https://kwork.ru/projects/3198694,2026-06-16,Автоматизация отчётов и анализа рекламных кабинетов VK,Vlad,active_exchange,mkt-analytics,Маркетинговая аналитика,30000,90000,60000,19,284,mid,TAKE,SE_Vlad,low,6,10000,high-live,market/2026-06-kwork-orders-ledger-LIVE.csv,отклик только если объем и приемка ясны,автоматизация отчётности
14,LIVE,3197747,https://kwork.ru/projects/3197747,2026-06-15,Анализ Google Ads (хостелы/отели),Vlad,active_exchange,mkt-analytics,Маркетинговая аналитика,10000,30000,20000,20,282,mid,TAKE,SE_Vlad,low,6,3333,high-live,market/2026-06-kwork-orders-ledger-LIVE.csv,отклик только если объем и приемка ясны,маркетинг-аналитика
15,LIVE,3195547,https://kwork.ru/projects/3195547,2026-06-11,Анализ конкурентов,Vlad,active_exchange,mkt-analytics,Маркетинговая аналитика,3500,3500,3500,22,328,high,TAKE WITH SCOPE,SE_Vlad,low,6,583,high-live,market/2026-06-kwork-orders-ledger-LIVE.csv,отклик только если объем и приемка ясны,конкурентный анализ
16,LIVE,3198647,https://kwork.ru/projects/3198647,2026-06-16,Разработка стиля карточек и витрины для маркетплейсов,Shared,active_exchange,marketplace,Маркетплейсы,10000,30000,20000,27,579,high,TAKE WITH SCOPE,clarify,low,6,3333,high-live,market/2026-06-kwork-orders-ledger-LIVE.csv,отклик только если объем и приемка ясны,дизайн+контент МП
17,LIVE,3197828,https://kwork.ru/projects/3197828,2026-06-15,Создание контента для маркетплейсов с помощью ИИ,Vlad,active_exchange,marketplace,Маркетплейсы,5000,15000,10000,96,1219,red,TAKE ONLY if bounded and proof useful,SE_Vlad,med,,,high-live,market/2026-06-kwork-orders-ledger-LIVE.csv,отклик только если объем и приемка ясны,красный океан ИИ-контент
18,LIVE,3198518,https://kwork.ru/projects/3198518,2026-06-16,Карточка товара,Shared,active_exchange,marketplace,Маркетплейсы,2000,6000,4000,125,838,red,TAKE ONLY if bounded and proof useful,clarify,med,,,high-live,market/2026-06-kwork-orders-ledger-LIVE.csv,отклик только если объем и приемка ясны,commodity 125 откликов
19,LIVE,3195348,https://kwork.ru/projects/3195348,2026-06-11,Техническое задание на проектирование бани,Skip,active_exchange,tz,"ТЗ, структура, Gantt",7000,21000,14000,2,632,low,SKIP,clarify,low,4,3500,high-live,market/2026-06-kwork-orders-ledger-LIVE.csv,"отклик: ТЗ, вопросы, границы ответственности",ТЗ=стройка не IT
20,LIVE,3198782,https://kwork.ru/projects/3198782,2026-06-16,Поддержка и развитие портала Битрикс24,Vlad,active_exchange,crm-bitrix,"AI, боты, CRM",25000,75000,50000,5,181,low,TAKE FIRST,SE_Vlad,low,10,5000,high-live,market/2026-06-kwork-orders-ledger-LIVE.csv,"отклик: карта процесса, один сценарий, риски, тесты",поддержка CRM мало откликов
21,LIVE,3198141,https://kwork.ru/projects/3198141,2026-06-15,Настройка Битрикс24 Облако для стоматологии,Vlad,active_exchange,crm-bitrix,"AI, боты, CRM",40000,120000,80000,17,638,mid,DISCOVERY ONLY,SE_Vlad,med,24,3333,high-live,market/2026-06-kwork-orders-ledger-LIVE.csv,отвечать только на платный аудит и фазирование,CRM-настройка
