id,date,title,lane,niche,budget_min,budget_max,offers,views,days,cat_id,competition,source_kw,note
3198791,16 июня,1С Автосервис - доработка,V,1c,7000,21000,4,101,10,80,low,1с,живой 16.06 — мало откликов хороший вход
3198119,15 июня,Руководство как в 1С УНФ сделать контракты,N,1c,2000,2000,11,912,10,73,mid,акт сверки,высокий просмотр документная задача
3196862,14 июня,Программа учета для магазина автозапчастей на 1с,V,1c,60000,180000,27,708,10,80,high,учет,крупный бюджет 1С-разработка
3198286,16 июня,Восстановление бух учета СБИС/Сабy,N,accounting,2000,2000,5,245,10,64,low,осв,редкий чистый бух-заказ
3198627,16 июня,Удаленный Бухгалтер,N,accounting,4000,12000,15,162,10,64,mid,бухгалтер,единственный активный по «бухгалтер»
3198647,16 июня,Разработка стиля карточек и витрины для маркетплейсов,S,marketplace,10000,30000,27,579,10,286,high,маркетплейс,дизайн+контент МП
3197828,15 июня,Создание контента для маркетплейсов с помощью ИИ,V,marketplace,5000,15000,96,1219,10,306,red,маркетплейс,красный океан ИИ-контент
3198518,16 июня,Карточка товара,S,marketplace,2000,6000,125,838,10,286,red,маркетплейс,commodity 125 откликов
3198710,16 июня,Написать ядро сборщика из карточек товара (парсер),V,parsing,10000,10000,11,313,10,41,mid,маркетплейс,парсинг МП — зона Влада
3197613,15 июня,Плачу % за привлечение селлеров WB/Ozon,N,leadgen,200000,200000,5,493,10,84,low,маркетплейс,партнёрка не наша
3198376,16 июня,Перепечатать данные из рукописного журнала в Excel,S,excel-entry,1000,3000,121,997,10,75,red,excel,ручной ввод — не брать
3198005,15 июня,PDF в Excel,S,excel-entry,2500,2500,327,1862,10,75,red,excel,327 откликов commodity
3198558,16 июня,Собрать базу организаций для обзвона,V,data-excel,1500,4500,10,203,10,113,mid,excel,парсинг+таблица
3198019,15 июня,Сбор/парсинг Telegram-каналов: бьюти,V,parsing,500,500,18,355,10,113,mid,excel,дешёвый парсинг
3198339,16 июня,Сделать отчёт по посещаемости,S,data-excel,1000,3000,13,301,10,44,mid,excel,таблица-отчёт
3198621,16 июня,Нужна выгрузка компаний по г. Москва,V,parsing,1000,3000,13,184,10,113,mid,excel,парсинг+выгрузка
3198707,16 июня,Заключить 99 договоров с кадровыми агентствами,N,leadgen,6000,6000,0,227,10,84,low,коммерческое предложение,холодный обзвон не наш
3198248,15 июня,Разработка шаблона оформления кейсов компании,V,kp-b2b,4000,12000,19,634,10,270,mid,коммерческое предложение,упаковка кейсов — зона Влада
3197922,15 июня,Поиск B2B клиентов для маркетингового агентства,V,kp-b2b,200000,200000,2,573,10,84,low,коммерческое предложение,B2B продажи мало откликов
3197935,15 июня,Корпоративный мессенджер для компании,V,crm-bitrix,100000,200000,40,556,10,80,high,коммерческое предложение,крупная разработка
3195348,11 июня,Техническое задание на проектирование бани,X,tz,7000,21000,2,632,10,65,low,техническое задание,ТЗ=стройка не IT
3198330,16 июня,Разработать интернет-магазин (сайт уже есть),V,web,10000,30000,29,659,10,38,high,техническое задание,e-commerce доработка
3197965,15 июня,Провести SEO-аудит и подготовить план,X,seo,15000,45000,32,354,10,44,high,техническое задание,не наша ниша
3196048,12 июня,Разработать аналог сайта + парсинг/наполнение,V,parsing,30000,90000,30,1706,10,37,high,парсинг,крупный парсинг+сайт
2545228,архив,Доработка парсера,V,parsing,30000,90000,48,2031,10,41,high,парсинг,старый но активный
3198468,16 июня,Разработка асинхронного Python парсера для AmoCRM,V,python,7000,21000,15,326,10,41,mid,python,идеальная зона Влада
3195831,12 июня,Изучить скрипты Python и устранить ошибки,V,python,12000,36000,120,1113,10,41,red,python,много откликов «почини скрипт»
3198488,16 июня,Дополнить робота по автоответам на Ozon,V,python,1000,3000,39,619,10,41,high,python,дешёвый но много откликов
3197770,15 июня,Доработка отчётов в DataLence,V,python,10000,30000,33,711,10,41,high,python,BI/данные
3198201,15 июня,Создать телеграмм бот,V,tg-bot,500,500,87,1053,10,41,red,телеграм бот,демпинг 500₽ 87 откликов
3197646,15 июня,Доработка бота в Salebot для ВК и ТГ,V,tg-bot,5000,15000,31,857,10,41,high,телеграм бот,доработка конструктора
